bodyweight_kg,bench_kg
122.47,
112.94,
135.9,
173.82,
140.98,
140.98,
82.19,
82.19,
65.41,
73.21,
72.39,
78.83,
78.83,
89.09,
86.64,
88.45,
88.99,
97.16,
97.16,
97.16,
97.16,
94.8,
94.8,
100.02,
100.97,
112.94,
179.99,
179.99,
179.99,
179.99,
157.4,
82.19,
82.19,
26.13,40
67.13,205
66.68,87.5
67.13,170
67.13,170
66.68,110
66.68,110
66.68,137.5
66.68,137.5
74.93,60
74.93,60
74.93,60
74.93,60
73.39,213.5
73.39,213.5
74.57,120
80.2,140
81.28,137.5
75.39,127.5
86.82,65
86.82,65
86.64,127.5
89.18,222.5
88.45,250
87.82,205
89.9,185
89.99,125
93.53,205
93.53,205
90.36,102.5
95.71,215
94.53,167.5
94.53,
94.89,155
94.89,155
93.08,137.5
93.08,192.5
93.08,192.5
100.02,227.5
106.68,250
106.68,250
108.23,215
110.04,215
109.68,170
108.5,163.5
108.5,163.5
108.5,163.5
108.5,163.5
115.48,280
125,
133.63,175
82.19,92.5
82.19,92.5
75.02,
73.21,
72.39,
81.01,
78.83,
78.83,
82.1,
82.01,
82.01,
87.82,
90,
97.16,
97.16,
97.16,
97.16,
94.53,
94.89,
94.89,
137.08,
137.08,
82.19,
82.19,
93.53,
67.5,
60,102.5
67.5,80
90,105
82.5,
125,
125,
30,
35,
90,
35,45
82.5,185
82.5,147.5
82.5,62.5
82.5,72.5
82.5,80
100,187.5
110,223.5
110,155
90,
110,
48,
60,
60,
67.5,
90,
82.5,
90,
110,
110,
48,85
60,60
60,87.5
67.5,65
67.5,57.5
82.5,100
67.5,117.5
75,192.5
75,122.5
75,152.5
82.5,77.5
90,97.5
100,180
100,215
110,215
125,137.5
140,140
56,
82.5,
82.5,
110,
40,
60,
67.5,
67.5,
67.5,
82.5,
90,
60,75
67.5,103.5
100,
125,
67.5,137.5
75,175
75,165
90,157.5
140,
90,
67.5,90
67.5,102.5
67.5,107.5
82.5,92.5
67.5,
75,
75,
82.5,
90,
90,
125,
140,
67.5,155
82.5,75
82.5,112.5
90,197.5
90,160
100,227.5
100,170
100,102.5
110,260
140,212.5
90,
56,
82.5,
67.5,80
67.5,112.5
60,82.5
67.5,65
,70
56,70
67.5,97.5
82.5,117.5
56,102.5
82.5,180
90,140
67.5,65
75,107.5
48.17,80
54.79,82.5
52.89,95
59.87,120
58.42,82.5
58.6,115
65.86,82.5
67.13,122.5
66.68,115
72.94,140
74.84,110
73.12,137.5
72.94,140
79.65,102.5
80.74,127.5
88.09,160
97.34,82.5
106.23,115
81.1,
73.21,157.5
73.66,120
63.87,117.5
71.85,122.5
81.65,160
80.92,137.5
78.83,162.5
80.1,162.5
80.74,205
86.36,172.5
89.36,235
87.91,165
86.55,232.5
97.98,262.5
98.52,227.5
94.08,200
97.52,205
99.52,205
99.7,255
99.97,395
102.24,162.5
101.6,160
102.87,192.5
122.47,227.5
88.9,322.5
86.82,
81.65,
89.36,
47.54,100
51.71,82.5
55.97,112.5
54.88,97.5
54.98,97.5
55.97,112.5
55.7,120
59.6,75
57.88,85
57.97,87.5
59.42,92.5
58.88,90
59.6,125
58.6,75
59.69,87.5
65.32,127.5
64.86,85
65.95,110
66.41,97.5
61.05,117.5
64.95,117.5
65.77,137.5
67.31,75
66.41,90
63.32,102.5
72.03,102.5
72.85,110
74.84,152.5
81.1,137.5
81.92,175
84.82,130
83.73,137.5
97.34,95
93.89,90
123.29,235
95.98,102.5
91.72,105
67.5,
59.96,160
65.59,145
67.22,177.5
66.77,132.5
67.31,145
66.86,135
67.22,187.5
74.93,172.5
67.95,
74.39,167.5
73.84,175
74.66,207.5
74.48,170
77.2,167.5
79.65,165
79.38,160
82.5,
82.1,140
79.65,137.5
81.1,155
80.56,157.5
79.65,165
79.38,177.5
82.37,182.5
81.74,252.5
81.19,217.5
81.19,217.5
90,
89.72,
89.27,185
87.63,200
87.82,260
89.9,145
88.45,145
89.45,150
89.27,142.5
87.63,157.5
86.73,200
87.36,190
89.54,300
90,
87.45,202.5
87.91,365
92.08,122.5
92.08,122.5
99.88,170
96.62,172.5
96.16,252.5
99.61,295
97.61,192.5
99.25,197.5
97.07,205
97.89,222.5
98.97,260
109.04,252.5
108.14,237.5
107.5,165
101.88,282.5
105.6,125
122.11,205
116.03,272.5
122.47,367.5
123.92,305
118.84,207.5
112.85,337.5
123.92,305
124.19,295
110.59,337.5
114.58,237.5
139.71,392.5
134.99,267.5
73.84,255
89.9,195
65.77,
74.21,
88.9,
96.98,
104.96,
102.51,
104.96,
101.88,
110.59,
137.89,
178.26,
149.96,
74.21,
98.25,
96.71,
71.21,
108.05,
87.09,226.8
87.09,226.8
108.41,272.16
89.81,204.12
95.25,138.35
68.95,181.44
99.34,260.82
108.41,272.16
121.56,231.33
58.97,136.08
95.25,138.35
68.95,181.44
88.9,
108.41,
73.48,
98.88,
104.33,
103.87,
127.91,
106.14,
112.49,
107.95,
96.16,
150.14,
98.88,
108.86,
87.09,
146.96,
107.95,
66.68,97.52
68.22,106.59
79.2,165.56
94.35,142.88
61.78,83.91
113.4,106.59
117.03,229.06
59.69,106.59
79.29,147.42
80.97,145.15
99.34,183.7
91.53,151.95
107.95,
117.03,229.06
108.05,233.6
103.65,158.76
127.01,226.8
118.39,183.7
83.78,
,
,
83.78,
52,55
52,85
56,137.5
56,137.5
67.5,212.5
67.5,165
67.5,112.5
67.5,145
67.5,107.5
67.5,112.5
67.5,95
75,150
75,120
82.5,250
82.5,182.5
82.5,170
82.5,155
82.5,122.5
90,182.5
90,90
90,120
90,110
90,227.5
100,170
100,210
100,137.5
,150
125,295
125,167.5
125,277.5
140,212.5
140,257.5
140,232.5
,287.5
125,
56,
60,
67.5,
90,
90,
100,
,
,
110,
125,
125,
,
,
,
56,
67.5,
100,
,
82.5,
90,
,
65.32,70.31
65.32,70.31
121.56,111.13
85.46,115.67
81.56,104.33
59.06,102.06
88.9,242.67
88.9,197.31
107.5,238.14
105.69,215.46
107.5,238.14
98.88,222.26
88.72,208.65
51.44,97.5
55.84,125
64.59,122.5
66.04,95
83.46,140
74.57,127.5
83.46,140
104.33,142.5
82.33,145
101.6,240
103.87,215
,
73.57,197.5
82.01,255
99.79,370
109.68,255
128.82,240
210.92,355
,
82.33,145
82.01,255
99.7,162.5
128.82,240
89.81,157.5
58.97,105
89.27,
110.68,
74.05,176.9
74.5,156.49
82.1,197.31
82.1,197.31
88.11,192.78
89.92,226.8
113.85,233.6
113.85,233.6
133.58,265.35
89.81,272.16
109.77,233.6
109.77,233.6
80.85,226.8
121.56,181.44
97.3,308.44
70.76,111.13
80.97,117.93
123.38,244.94
123.38,244.94
71.55,92.99
71.55,92.99
56,92.99
86.41,111.13
86.41,111.13
83.35,88.45
66.34,120.2
64.3,108.86
63.05,138.35
63.05,138.35
80.63,163.29
122.02,183.7
67.13,151.95
67.13,151.95
149.91,
149.91,
65.77,
97.64,
98.88,
108.07,
108.07,
98.88,
70.49,86.18
71.67,181.44
,
64.41,124.74
71.67,217.72
88,283.5
107.5,308.44
104.78,226.8
134.72,229.06
88.9,256.28
107.5,308.44
116.12,219.99
71.67,181.44
,
73.48,
88.45,
97.98,
107.5,
127.46,
74.39,
154.67,
111.58,
72.57,
108.41,
111.58,
67.25,106.59
71.3,113.4
54.02,74.84
72.3,188.24
83.46,192.78
99.65,249.48
92.03,192.78
116.8,272.16
80.29,172.37
92.99,127.01
81.87,136.08
129.36,156.49
99.65,249.48
119.98,265.35
74.84,113.4
67.13,
108.05,
69.85,120.2
41.73,52.16
86.64,174.63
96.16,242.67
98.88,197.31
103.87,215.46
123.65,215.46
80.47,181.44
96.16,242.67
88.45,197.31
88,201.85
121.2,
163.75,
163.75,
103.42,
112.04,
66.68,149.69
73.94,117.93
107.95,167.83
67.13,142.88
67.13,142.88
74.84,142.88
80.29,183.7
80.74,201.85
86.18,206.38
86.64,201.85
88.9,183.7
99.34,278.96
108.86,319.78
107.5,204.12
109.77,204.12
106.14,199.58
122.02,172.37
136.53,272.16
136.53,272.16
117.48,
58.06,
73.94,
98.43,
134.26,
67.31,149.69
93.08,136.08
65.41,90.72
66.04,115.67
148.42,113.4
67.31,149.69
58.51,117.93
66.04,115.67
72.67,136.08
111.58,149.69
93.08,136.08
111.58,149.69
63.59,74.84
72.67,136.08
124.33,142.88
95.44,174.63
124.38,306.17
86.09,174.63
88.9,258.55
139.34,299.37
117.66,276.69
65.14,208.65
88.9,258.55
139.34,299.37
60.06,142.88
99.34,215.46
69.31,
69.49,108.86
173.18,283.5
32.21,29.48
97.7,
148.42,
132,
149.14,
60,
60,
82.1,
139.89,
143.24,
118.84,
59.6,129.27
69.22,99.79
75.21,122.47
79.38,70.31
86.45,81.65
59.6,129.27
80.65,117.93
119.29,70.31
62.87,92.99
97.98,151.95
